date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:38	29896/29896	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202015%2009:43:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/blank.html	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/blank.html	(from )
18:11:39	47/47	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20May%202013%2014:15:29%20GMT	http://responsiweb.com/robots.txt		(from )
18:11:40	117311/117311	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2009:27:06%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/css/bootstrap.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:40	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%220831cba6a670e405168b84aa20798347%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/Mis%20lugares%20Web/Ace-Master1.3.4/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:42	7241/7241	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Oct%202015%2009:26:40%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/js/ace-extra.min.js	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/js/ace-extra.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:42	391386/391386	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2009:27:06%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/css/ace.min.css	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/css/ace.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:42	3348/3348	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Jun%202014%2005:54:30%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar.png	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar.png	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:43	3276/3276	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Jun%202014%2005:59:46%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar3.png	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar3.png	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:43	3109/3109	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Jun%202014%2006:08:36%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar4.png	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar4.png	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:43	752/752	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Mar%202013%2015:39:46%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar2.png	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar2.png	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:43	3372/3372	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Jun%202014%2005:43:06%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar5.png	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/dist/avatars/avatar5.png	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
18:11:44	74956/74956	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202015%2009:43:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.4/inbox.html	C:/Mis%20lugares%20Web/Ace-Master1.3.4/responsiweb.com/themes/preview/ace/1.3.4/inbox.html	(from http://responsiweb.com/themes/preview/ace/1.3.4/blank.html)
